MODULE_NAME: /bin/dash
MODULE_START: 0x7f340f742000
+B+: 0x7f340f749104 0x7f340f749113
+B+: 0x7f340f749114 0x7f340f74911b
+B+: 0x7f340f74911c 0x7f340f749122
+B+: 0x7f340f749123 0x7f340f749152
+B+: 0x7f340f749153 0x7f340f74915f
+B+: 0x7f340f749160 0x7f340f749168
+B+: 0x7f340f749216 0x7f340f74921c
+B+: 0x7f340f749224 0x7f340f74922d
+B+: 0x7f340f74922e 0x7f340f749237
+B+: 0x7f340f749238 0x7f340f749241
+B+: 0x7f340f749242 0x7f340f74924b
+B+: 0x7f340f74925d 0x7f340f749266
+B+: 0x7f340f749267 0x7f340f749281
+B+: 0x7f340f749282 0x7f340f749293
+B+: 0x7f340f74934c 0x7f340f749353
+B+: 0x7f340f749354 0x7f340f74936f
+B+: 0x7f340f74951b 0x7f340f749525
+B+: 0x7f340f749526 0x7f340f74952e
+B+: 0x7f340f74952f 0x7f340f749537
+B+: 0x7f340f7498d0 0x7f340f7498ec
+B+: 0x7f340f7498ed 0x7f340f7498f1
+B+: 0x7f340f7498f8 0x7f340f7498fa
+B+: 0x7f340f7498fb 0x7f340f749907
+B+: 0x7f340f749908 0x7f340f74993e
+B+: 0x7f340f74993f 0x7f340f749940
+B+: 0x7f340f749963 0x7f340f749977
+B+: 0x7f340f749980 0x7f340f749986
+B+: 0x7f340f749987 0x7f340f74998e
+B+: 0x7f340f74998f 0x7f340f749997
+B+: 0x7f340f749998 0x7f340f7499ba
+B+: 0x7f340f7499bb 0x7f340f7499bc
+B+: 0x7f340f7499c0 0x7f340f7499e7
+B+: 0x7f340f7499e8 0x7f340f7499f7
+B+: 0x7f340f749a19 0x7f340f749a21
+B+: 0x7f340f749a22 0x7f340f749a2a
+B+: 0x7f340f749a2b 0x7f340f749a34
+B+: 0x7f340f749a35 0x7f340f749a3f
+B+: 0x7f340f749ad0 0x7f340f749ae9
+B+: 0x7f340f749aea 0x7f340f749b00
+B+: 0x7f340f749b10 0x7f340f749b1f
+B+: 0x7f340f749b20 0x7f340f749b2b
+B+: 0x7f340f749b2c 0x7f340f749b31
+B+: 0x7f340f749b32 0x7f340f749b41
+B+: 0x7f340f749b56 0x7f340f749b61
+B+: 0x7f340f749b62 0x7f340f749b6f
+B+: 0x7f340f749b70 0x7f340f749b85
+B+: 0x7f340f749b86 0x7f340f749b97
+B+: 0x7f340f749b98 0x7f340f749bc0
+B+: 0x7f340f749bc8 0x7f340f749bcc
+B+: 0x7f340f749bcd 0x7f340f749bea
+B+: 0x7f340f749d70 0x7f340f749d98
+B+: 0x7f340f749da0 0x7f340f749da1
+B+: 0x7f340f749da2 0x7f340f749daa
+B+: 0x7f340f749dab 0x7f340f749dc5
+B+: 0x7f340f749dc6 0x7f340f749dc9
+B+: 0x7f340f749dca 0x7f340f749dd1
+B+: 0x7f340f749dd2 0x7f340f749de6
+B+: 0x7f340f749df0 0x7f340f749e2a
+B+: 0x7f340f749e2b 0x7f340f749e2f
+B+: 0x7f340f749e46 0x7f340f749e5c
