MODULE_NAME: /bin/dash
MODULE_START: 0x7f7848104000
+B+: 0x7f784810b123 0x7f784810b152
+B+: 0x7f784810b153 0x7f784810b15f
+B+: 0x7f784810b160 0x7f784810b168
+B+: 0x7f784810b216 0x7f784810b21c
+B+: 0x7f784810b224 0x7f784810b22d
+B+: 0x7f784810b22e 0x7f784810b237
+B+: 0x7f784810b238 0x7f784810b241
+B+: 0x7f784810b242 0x7f784810b24b
+B+: 0x7f784810b25d 0x7f784810b266
+B+: 0x7f784810b267 0x7f784810b281
+B+: 0x7f784810b282 0x7f784810b293
+B+: 0x7f784810b34c 0x7f784810b353
+B+: 0x7f784810b354 0x7f784810b36f
+B+: 0x7f784810b51b 0x7f784810b525
+B+: 0x7f784810b526 0x7f784810b52e
+B+: 0x7f784810b52f 0x7f784810b537
+B+: 0x7f784810b8d0 0x7f784810b8ec
+B+: 0x7f784810b8ed 0x7f784810b8f1
+B+: 0x7f784810b8f8 0x7f784810b8fa
+B+: 0x7f784810b8fb 0x7f784810b907
+B+: 0x7f784810b908 0x7f784810b93e
+B+: 0x7f784810b93f 0x7f784810b940
+B+: 0x7f784810b963 0x7f784810b977
+B+: 0x7f784810b980 0x7f784810b986
+B+: 0x7f784810b987 0x7f784810b98e
+B+: 0x7f784810b98f 0x7f784810b997
+B+: 0x7f784810b998 0x7f784810b9ba
+B+: 0x7f784810b9bb 0x7f784810b9bc
+B+: 0x7f784810b9c0 0x7f784810b9e7
+B+: 0x7f784810b9e8 0x7f784810b9f7
+B+: 0x7f784810ba19 0x7f784810ba21
+B+: 0x7f784810ba22 0x7f784810ba2a
+B+: 0x7f784810ba2b 0x7f784810ba34
+B+: 0x7f784810ba35 0x7f784810ba3f
+B+: 0x7f784810bad0 0x7f784810bae9
+B+: 0x7f784810baea 0x7f784810bb00
+B+: 0x7f784810bb10 0x7f784810bb1f
+B+: 0x7f784810bb20 0x7f784810bb2b
+B+: 0x7f784810bb2c 0x7f784810bb31
+B+: 0x7f784810bb32 0x7f784810bb41
+B+: 0x7f784810bb56 0x7f784810bb61
+B+: 0x7f784810bb62 0x7f784810bb6f
+B+: 0x7f784810bb70 0x7f784810bb85
+B+: 0x7f784810bb86 0x7f784810bb97
+B+: 0x7f784810bb98 0x7f784810bbc0
+B+: 0x7f784810bbc8 0x7f784810bbcc
+B+: 0x7f784810bbcd 0x7f784810bbea
+B+: 0x7f784810bd70 0x7f784810bd98
+B+: 0x7f784810bda0 0x7f784810bda1
+B+: 0x7f784810bda2 0x7f784810bdaa
+B+: 0x7f784810bdab 0x7f784810bdc5
+B+: 0x7f784810bdc6 0x7f784810bdc9
+B+: 0x7f784810bdca 0x7f784810bdd1
+B+: 0x7f784810bdd2 0x7f784810bde6
+B+: 0x7f784810bdf0 0x7f784810be2a
+B+: 0x7f784810be2b 0x7f784810be2f
+B+: 0x7f784810be46 0x7f784810be5c
+B+: 0x7f784810be5d 0x7f784810be6e
+B+: 0x7f784810be90 0x7f784810bead
+B+: 0x7f784810bec8 0x7f784810bed1
+B+: 0x7f784810bed2 0x7f784810bedd
+B+: 0x7f784810bf6c 0x7f784810bf8f
+B+: 0x7f784810bf90 0x7f784810bf9c
+B+: 0x7f784810bf9d 0x7f784810bfa8
+B+: 0x7f784810bfa9 0x7f784810bfb0
+B+: 0x7f784810bfb1 0x7f784810bfc5
+B+: 0x7f784810c008 0x7f784810c012
+B+: 0x7f784810c013 0x7f784810c01e
+B+: 0x7f784810c01f 0x7f784810c02e
+B+: 0x7f784810c060 0x7f784810c066
+B+: 0x7f784810c067 0x7f784810c074
+B+: 0x7f784810c075 0x7f784810c086
+B+: 0x7f784810c087 0x7f784810c08e
+B+: 0x7f784810c08f 0x7f784810c0a2
+B+: 0x7f784810c0a3 0x7f784810c0b0
+B+: 0x7f784810c100 0x7f784810c116
+B+: 0x7f784810c145 0x7f784810c14d
+B+: 0x7f784810c14e 0x7f784810c157
+B+: 0x7f784810c160 0x7f784810c166
+B+: 0x7f784810c1c0 0x7f784810c1d1
+B+: 0x7f784810c1e8 0x7f784810c1ef
+B+: 0x7f784810c248 0x7f784810c25b
+B+: 0x7f784810c25c 0x7f784810c271
+B+: 0x7f784810c7d0 0x7f784810c7ff
+B+: 0x7f784810c80f 0x7f784810c812
+B+: 0x7f784810c813 0x7f784810c81c
+B+: 0x7f784810c81d 0x7f784810c820
+B+: 0x7f784810c821 0x7f784810c82f
+B+: 0x7f784810c830 0x7f784810c83a
+B+: 0x7f784810c84f 0x7f784810c85a
+B+: 0x7f784810c85f 0x7f784810c862
+B+: 0x7f784810c870 0x7f784810c877
+B+: 0x7f784810c878 0x7f784810c88d
+B+: 0x7f784810d440 0x7f784810d464
+B+: 0x7f784810d61e 0x7f784810d627
+B+: 0x7f784810d628 0x7f784810d631
+B+: 0x7f784810d632 0x7f784810d659
+B+: 0x7f784810d6af 0x7f784810d6bc
+B+: 0x7f784810d6c0 0x7f784810d6cb
+B+: 0x7f784810d730 0x7f784810d73b
+B+: 0x7f784810d740 0x7f784810d75e
+B+: 0x7f784810d75f 0x7f784810d767
+B+: 0x7f784810d7d2 0x7f784810d7e3
+B+: 0x7f784810d8a0 0x7f784810d8a7
+B+: 0x7f784810e260 0x7f784810e2a5
+B+: 0x7f784810e2b5 0x7f784810e2be
+B+: 0x7f784810e2bf 0x7f784810e2d2
+B+: 0x7f784810e2d3 0x7f784810e2fc
+B+: 0x7f784810e2fd 0x7f784810e310
+B+: 0x7f784810e324 0x7f784810e328
+B+: 0x7f784810e336 0x7f784810e33f
+B+: 0x7f784810e340 0x7f784810e344
+B+: 0x7f784810e370 0x7f784810e386
+B+: 0x7f784810e387 0x7f784810e398
+B+: 0x7f784810e3a0 0x7f784810e3b6
+B+: 0x7f784810e3b7 0x7f784810e3d7
+B+: 0x7f784810e3dd 0x7f784810e3ec
+B+: 0x7f784810e850 0x7f784810e886
+B+: 0x7f784810e887 0x7f784810e89a
+B+: 0x7f784810e89b 0x7f784810e8ad
+B+: 0x7f784810e8ae 0x7f784810e8c4
+B+: 0x7f784810e8c5 0x7f784810e8d7
+B+: 0x7f784810e8d8 0x7f784810e8e7
+B+: 0x7f784810e8e8 0x7f784810e90c
+B+: 0x7f784810e90d 0x7f784810e915
+B+: 0x7f784810e924 0x7f784810e933
+B+: 0x7f784810e934 0x7f784810e947
+B+: 0x7f784810e948 0x7f784810e954
+B+: 0x7f784810e955 0x7f784810e95f
+B+: 0x7f784810e960 0x7f784810e964
+B+: 0x7f784810ea6a 0x7f784810ea7c
+B+: 0x7f784810ea7d 0x7f784810ea9c
+B+: 0x7f784810eba0 0x7f784810ebad
+B+: 0x7f784810ebae 0x7f784810ebe1
